Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,20001 - 26000 kg,Euro 5,70.716009,0.031951054,587.32,612.5,626.5,577.1,595.58,599.99,1586.95,1359.1,1359.1,702.37,673.18,742.82,812.04,681.31,730.55,1586.95,1586.95,1457.37,1030.79,997.29,807.55,1051.1,1013.46,944.75,1586.95,1586.95,1586.95,591.93,605.49,605.49,596.75,606.22,606.22,1359.1,1359.1,1359.1
Diesel,N3,20001 - 26000 kg,Euro 6,70.716009,0.076818491,586.42,607.31,622.32,574.69,591.96,595.71,1586.77,1352.37,1352.37,700.83,672.33,736.47,811.17,680.89,729.07,1586.77,1586.77,1459.06,1030.86,996.65,806.81,1050.96,1008.86,942.44,1586.77,1586.77,1586.77,592.97,607.98,607.98,592.12,602.37,602.37,1352.37,1352.37,1352.37
Diesel,N3,26001 - 28000 kg,Euro 0,70.716009,0.001812826,755.41,753.03,761.44,760.27,750.86,744.94,2086.14,1689.41,1689.41,940.36,874.06,898.63,1089.57,967,938.72,2086.14,2086.14,1906.96,1363.85,1284.89,1078.49,1396.84,1331.78,1210.75,2086.14,2086.14,2086.14,739.49,758.16,758.16,739.08,746.13,746.13,1689.41,1689.41,1689.41
Diesel,N3,26001 - 28000 kg,Euro 1,70.716009,0.004985271,664.86,676.8,686.09,663.63,667.85,665.29,1710.49,1431.64,1431.64,794.75,745.99,784.17,951.04,778.94,801.94,1710.49,1710.49,1587.41,1145.83,1115.91,942.55,1173.82,1107.86,1039.27,1710.49,1710.49,1710.49,638.42,657.07,657.07,652.05,659.5,659.5,1431.64,1431.64,1431.64
Diesel,N3,26001 - 28000 kg,Euro 2,70.716009,0.002492635,650.02,663.66,676.04,643.87,652.07,651.53,1594.5,1364.98,1364.98,768.36,723.21,767.53,912.34,744.83,775.3,1594.5,1594.5,1496.67,1093.47,1079.01,904.94,1118.21,1063.01,998.02,1594.5,1594.5,1594.5,624.08,643.66,643.66,637.97,647.08,647.08,1364.98,1364.98,1364.98
Diesel,N3,26001 - 28000 kg,Euro 3,70.716009,0.006118287,668.96,674.5,688.76,664.21,667.87,662.68,1694.28,1427.54,1427.54,804.62,754.67,793.64,957.04,783.84,813.56,1694.28,1694.28,1577.78,1153.62,1126.2,949.39,1178.19,1129.08,1054.65,1694.28,1694.28,1694.28,651.31,674.18,674.18,651.15,662.29,662.29,1427.54,1427.54,1427.54
Diesel,N3,26001 - 28000 kg,Euro 4,70.716009,0.002945842,643.71,649.62,662.46,627.68,639.45,638.55,1503.71,1291.79,1291.79,761.23,721.85,783.55,872.68,740.22,781.4,1503.71,1503.71,1402.66,1067.72,1068.75,868.26,1081.28,1045.13,992.28,1503.71,1503.71,1503.71,615.14,640.07,640.07,630.84,637.42,637.42,1291.79,1291.79,1291.79
Diesel,N3,26001 - 28000 kg,Euro 5,70.716009,0.002492635,644.94,648.58,660.93,629.63,639.96,639.01,1559.65,1357.51,1357.51,765.22,725.24,787.65,876.61,747.37,789.69,1559.65,1559.65,1436.55,1088.12,1068.53,872.12,1101.99,1038.71,1009.53,1559.65,1559.65,1559.65,616.4,639.77,639.77,630.96,637.2,637.2,1357.51,1357.51,1357.51
Diesel,N3,26001 - 28000 kg,Euro 6,70.716009,0.003852255,647.93,644.55,657.63,631.37,638.64,635.05,1571.37,1360.25,1360.25,767.57,728.36,783.14,881.97,752.52,793.13,1571.37,1571.37,1438.75,1092.92,1068.85,877.61,1106.4,1038.51,1012.89,1571.37,1571.37,1571.37,618.6,641.5,641.5,627.45,634.39,634.39,1360.25,1360.25,1360.25
Diesel,N3,28001 - 32000 kg,Euro 0,70.716009,0.001133016,824.14,856.12,880.33,849.55,844.88,843.51,2134.59,1789.37,1789.37,1061.53,980.42,1034.11,1193.37,1067.65,1034.5,2134.59,2134.59,1968.07,1480.14,1421.87,1182.75,1511.9,1430.31,1343.07,2134.59,2134.59,2134.59,842.97,865.85,865.85,838.09,854.35,854.35,1789.37,1789.37,1789.37
Diesel,N3,28001 - 32000 kg,Euro 1,70.716009,0.005891684,748.05,781.26,798.21,758.82,766.52,766.57,1819.75,1568.88,1568.88,918.31,855.78,908.55,1066.32,888.69,904.26,1819.75,1819.75,1694.91,1276.32,1263.34,1057.4,1305.84,1209.36,1179.55,1819.75,1819.75,1819.75,740.52,761.12,761.12,753.71,766.69,766.69,1568.88,1568.88,1568.88
Diesel,N3,28001 - 32000 kg,Euro 2,70.716009,0.008157716,737.05,773.5,785.17,743.61,752.34,755.88,1695.77,1493.89,1493.89,889.76,834.67,893.87,1029.45,852.84,885.56,1695.77,1695.77,1598.56,1220.11,1221.46,1021.56,1246.29,1170.08,1138.14,1695.77,1695.77,1695.77,728.49,748.26,748.26,742.54,754.24,754.24,1493.89,1493.89,1493.89
