Fuel type,N2/N3,Weghit,Standart,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,N3,26001 - 28000 kg,Euro 3,0.01,22.94,20.49,22.73,25.48,22.49,24.05,298.77,230.45,230.45,60.17,46.42,67.2,102.69,39.48,60.31,298.77,298.77,265.44,150.25,150.34,100.28,158.18,159.27,124.54,298.77,298.77,298.77,14.95,12,12,15.22,17.11,17.11,230.45,230.45,230.45,24.39,13.55,16.28,42.86,23.13,20.79,265.44,265.44,265.44,137.87,38.44,50.85,139.38,106.08,71.65,298.77,298.77,298.77,65.93,64.06,67.46,70.91,69.42,66.13,399.17,319.27,319.27
Diesel,N3,26001 - 28000 kg,Euro 4,0,7.61,7.71,8.17,7.55,7.67,9.67,218.67,172.42,172.42,34.93,25.64,51.68,69.82,13.21,38.81,218.67,218.67,194.71,106.4,119.36,68.43,110.84,119.98,91.34,218.67,218.67,218.67,0.2,0.26,0.26,2.77,3.03,3.03,172.42,172.42,172.42,8.57,1.26,1.41,27.49,7.11,6.94,194.71,194.71,194.71,110.95,12.91,29.68,100.83,74.89,45.14,218.67,218.67,218.67,50.95,51.29,52.8,53.18,54.95,52.48,320.98,266.65,266.65
Diesel,N3,26001 - 28000 kg,Euro 5,0,7.63,7.79,8.14,7.47,7.58,9.65,233.79,193.27,193.27,35.11,26.24,52.39,70,14.28,41.31,233.79,233.79,204.82,111.76,119.15,68.58,116.28,117.98,96.87,233.79,233.79,233.79,0.2,0.25,0.25,2.8,3.05,3.05,193.27,193.27,193.27,8.57,1.27,1.41,27.86,7.16,6.99,204.82,204.82,204.82,110.32,13.38,30.99,106.16,77.56,44.37,233.79,233.79,233.79,51.13,51.5,52.9,53.52,55.02,52.52,337.32,287.56,287.56
Diesel,N3,26001 - 28000 kg,Euro 6,0,7.69,7.65,8.02,7.5,7.54,9.59,235.47,194,194,35.56,26.46,52.85,70.79,14.33,41.42,235.47,235.47,205.8,112.46,120.36,69.42,116.84,118.78,97.51,235.47,235.47,235.47,0.16,0.24,0.24,2.81,3.06,3.06,194,194,194,8.55,1.22,1.4,28.17,7.23,7.03,205.8,205.8,205.8,111.28,13.44,31.21,106.67,78.15,44.81,235.47,235.47,235.47,51.52,50.98,52.61,53.89,54.97,52.24,339.84,288.47,288.47
Diesel,N3,28001 - 32000 kg,Euro 0,0,18.91,18.73,19.72,20.32,18.18,19.3,342.15,271.21,271.21,63,47.17,76.5,113.55,31.73,65.69,342.15,342.15,311.76,169.19,173.35,110.2,179.61,169.29,143.18,342.15,342.15,342.15,7.08,6.92,6.92,11.32,12.56,12.56,271.21,271.21,271.21,18.92,9.39,10.81,47.29,17.38,17.01,311.76,311.76,311.76,160.59,29.17,53.07,156.12,119.34,77.81,342.15,342.15,342.15,75.95,79.49,82.2,84.07,82.97,78.57,481.8,387.2,387.2
Diesel,N3,28001 - 32000 kg,Euro 1,0.01,17.67,17.49,18.15,18.96,17.05,18,291.95,234.04,234.04,54.47,40.9,67.29,99.33,27.66,57.27,291.95,291.95,267.49,145.77,152.48,96.52,154.44,150.66,125.5,291.95,291.95,291.95,5.82,5.51,5.51,10.49,11.35,11.35,234.04,234.04,234.04,17.85,8.86,9.71,39.72,15.49,15.06,267.49,267.49,267.49,142.97,26.41,45.89,137.72,104.67,66.15,291.95,291.95,291.95,68.38,72.23,74.92,75.17,75.1,70.91,409.47,337.76,337.76
Diesel,N3,28001 - 32000 kg,Euro 2,0.01,17.84,17.35,18.27,19.18,17.31,18.2,262.59,215.3,215.3,52.43,39.41,65.04,94.23,27.02,54.84,262.59,262.59,242.29,134.52,145.53,91.74,142.1,143.12,119.8,262.59,262.59,262.59,6.66,6.08,6.08,10.45,11.58,11.58,215.3,215.3,215.3,18.04,8.86,10.15,38.22,15.68,14.92,242.29,242.29,242.29,138.41,26.15,44.01,130.42,98.04,61.37,262.59,262.59,262.59,66.88,70.58,73.18,73.14,73.54,69.67,374.64,318.53,318.53
Diesel,N3,28001 - 32000 kg,Euro 3,0.02,26.51,24.95,25.81,28.39,24.99,25.52,291.8,234.9,234.9,65.44,49.86,74.19,108.78,39.49,65.59,291.8,291.8,267.17,156.69,160.05,106.1,164.8,161.78,134.47,291.8,291.8,291.8,12.99,11.58,11.58,18.39,19.57,19.57,234.9,234.9,234.9,26.01,16.66,17.82,47.5,24.78,23.17,267.17,267.17,267.17,153.09,38.27,54.73,147.72,110.55,74.74,291.8,291.8,291.8,73.19,75.89,78.8,80.37,79.22,74.46,403.38,338.21,338.21
Diesel,N3,28001 - 32000 kg,Euro 4,0.02,8.67,9.22,9.57,8.69,8.96,11.13,202.88,173.72,173.72,39.83,28.77,58.33,71.44,12.06,43.31,202.88,202.88,188.8,111.76,129.4,70.08,115.97,122.54,101.09,202.88,202.88,202.88,0.26,0.35,0.35,3.21,3.47,3.47,173.72,173.72,173.72,9.75,1.55,1.7,30.39,7.96,8.01,188.8,188.8,188.8,124.02,12.32,33.01,107.58,77.2,47.29,202.88,202.88,202.88,56.6,60.21,62.65,61.63,63.36,60.27,320.75,280.92,280.92
Diesel,N3,28001 - 32000 kg,Euro 5,0.03,8.69,9.32,9.59,8.8,9.03,11.36,204.78,177.78,177.78,39.88,28.87,58.56,71.93,11.9,43.9,204.78,204.78,191.08,111.58,129.57,70.45,115.88,130.36,101.87,204.78,204.78,204.78,0.27,0.36,0.36,3.24,3.51,3.51,177.78,177.78,177.78,9.8,1.56,1.71,30.52,8.01,8.07,191.08,191.08,191.08,121.64,12.85,33.57,108.5,77.55,46.94,204.78,204.78,204.78,56.88,60.59,62.76,61.96,63.75,60.68,323.01,286.3,286.3
