Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,14001 - 20000 kg,Euro 5,0.334,0.0483,0.0746,0.0703,0.067,0.0747,0.072,0.0743,0.201,0.1547,0.1547,0.0883,0.0819,0.08,0.1057,0.0845,0.0825,0.201,0.201,0.1821,0.1332,0.106,0.1047,0.1365,0.1214,0.1046,0.201,0.201,0.201,0.0712,0.0668,0.0668,0.0731,0.0713,0.0713,0.1547,0.1547,0.1547
Diesel,N3,14001 - 20000 kg,Euro 6,0.334,0.1045,0.0357,0.0328,0.0306,0.0357,0.034,0.0354,0.0999,0.0759,0.0759,0.0428,0.0395,0.0377,0.0518,0.0409,0.0395,0.0999,0.0999,0.09,0.0653,0.0515,0.0513,0.067,0.0588,0.0507,0.0999,0.0999,0.0999,0.0333,0.0305,0.0305,0.0345,0.0333,0.0333,0.0759,0.0759,0.0759
Diesel,N3,20001 - 26000 kg,Euro 0,0.334,0.0039,0.6028,0.5785,0.5724,0.6086,0.5895,0.5963,2.6743,1.8265,1.8265,0.8266,0.7133,0.6776,1.1109,0.7372,0.7337,2.6743,2.6743,2.2668,1.59,1.1623,1.0996,1.6341,1.3546,1.0863,2.6743,2.6743,2.6743,0.5646,0.5613,0.5613,0.5774,0.5722,0.5722,1.8265,1.8265,1.8265
Diesel,N3,20001 - 26000 kg,Euro 1,0.334,0.0091,0.7462,0.796,0.8054,0.7463,0.7511,0.7793,2.3871,1.7567,1.7567,0.9243,0.8329,0.832,1.1267,0.867,0.8572,2.3871,2.3871,2.0717,1.5153,1.207,1.1158,1.5482,1.3769,1.146,2.3871,2.3871,2.3871,0.8274,0.812,0.812,0.7991,0.814,0.814,1.7567,1.7567,1.7567
Diesel,N3,20001 - 26000 kg,Euro 2,0.334,0.0066,0.4556,0.4714,0.4396,0.4464,0.4578,0.473,1.5003,1.0801,1.0801,0.5653,0.5049,0.5253,0.6986,0.5331,0.5268,1.5003,1.5003,1.3076,0.9493,0.7448,0.6919,0.9675,0.8474,0.7126,1.5003,1.5003,1.5003,0.4243,0.4207,0.4207,0.4687,0.4431,0.4431,1.0801,1.0801,1.0801
Diesel,N3,20001 - 26000 kg,Euro 3,0.334,0.0233,0.3787,0.3535,0.3462,0.379,0.3752,0.3874,1.3578,0.9486,0.9486,0.4921,0.43,0.4144,0.6067,0.4683,0.4451,1.3578,1.3578,1.1648,0.8325,0.6477,0.6013,0.8476,0.745,0.6265,1.3578,1.3578,1.3578,0.332,0.3302,0.3302,0.3579,0.348,0.348,0.9486,0.9486,0.9486
Diesel,N3,20001 - 26000 kg,Euro 4,0.334,0.0227,0.0647,0.0679,0.0626,0.0696,0.0682,0.0663,0.1374,0.1127,0.1127,0.0757,0.0768,0.0698,0.0833,0.0795,0.0758,0.1374,0.1374,0.1253,0.0962,0.0857,0.0829,0.0975,0.0908,0.0886,0.1374,0.1374,0.1374,0.0605,0.0562,0.0562,0.069,0.0644,0.0644,0.1127,0.1127,0.1127
Diesel,N3,20001 - 26000 kg,Euro 5,0.334,0.032,0.0914,0.0851,0.0811,0.0952,0.0911,0.0894,0.2625,0.1971,0.1971,0.1118,0.1045,0.0982,0.1329,0.1118,0.1069,0.2625,0.2625,0.2277,0.1618,0.1312,0.1317,0.1662,0.1543,0.1366,0.2625,0.2625,0.2625,0.0799,0.0792,0.0792,0.0861,0.0821,0.0821,0.1971,0.1971,0.1971
Diesel,N3,20001 - 26000 kg,Euro 6,0.334,0.0768,0.0419,0.0378,0.0359,0.0447,0.0415,0.04,0.1269,0.0934,0.0934,0.0536,0.0496,0.0442,0.0642,0.0539,0.0504,0.1269,0.1269,0.1098,0.0785,0.062,0.0636,0.0807,0.0732,0.0647,0.1269,0.1269,0.1269,0.0351,0.034,0.034,0.0384,0.0363,0.0363,0.0934,0.0934,0.0934
Diesel,N3,26001 - 28000 kg,Euro 0,0.334,0.0018,0.6373,0.5758,0.572,0.7156,0.6022,0.5978,2.6718,1.7736,1.7736,0.8656,0.7704,0.7092,1.1595,0.8082,0.8024,2.6718,2.6718,2.2315,1.594,1.2383,1.1487,1.6254,1.3707,1.0904,2.6718,2.6718,2.6718,0.5683,0.568,0.568,0.5756,0.572,0.572,1.7736,1.7736,1.7736
Diesel,N3,26001 - 28000 kg,Euro 1,0.334,0.005,0.8003,0.7473,0.7531,0.9017,0.7593,0.7701,2.3691,1.7023,1.7023,0.9679,0.9428,0.8525,1.1596,0.9338,0.9412,2.3691,2.3691,2.0541,1.5324,1.2319,1.1504,1.56,1.375,1.1529,2.3691,2.3691,2.3691,0.7709,0.7745,0.7745,0.7544,0.7588,0.7588,1.7023,1.7023,1.7023
