Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,20001 - 26000 kg,Euro 0,0.0665,0.0039,0.6434,0.6843,0.6917,0.6739,0.6517,0.666,1.3614,1.0688,1.0688,0.7439,0.6814,0.7218,0.8963,0.7447,0.704,1.3614,1.3614,1.2201,0.9781,0.9098,0.8935,0.9935,0.96,0.8565,1.3614,1.3614,1.3614,0.7053,0.7109,0.7109,0.6771,0.6905,0.6905,1.0688,1.0688,1.0688
Diesel,N3,20001 - 26000 kg,Euro 1,0.0665,0.0091,0.5628,0.6074,0.6179,0.5449,0.5627,0.582,1.0821,0.8665,0.8665,0.5412,0.5386,0.5996,0.6712,0.5207,0.5592,1.0821,1.0821,0.9806,0.7185,0.7079,0.6669,0.7373,0.7289,0.6598,1.0821,1.0821,1.0821,0.6289,0.6275,0.6275,0.598,0.6149,0.6149,0.8665,0.8665,0.8665
Diesel,N3,20001 - 26000 kg,Euro 2,0.0665,0.0066,0.2813,0.2778,0.2464,0.3013,0.2865,0.2784,0.4712,0.4159,0.4159,0.3104,0.2773,0.2628,0.3853,0.326,0.278,0.4712,0.4712,0.4521,0.3641,0.3513,0.384,0.3753,0.3995,0.3538,0.4712,0.4712,0.4712,0.2219,0.218,0.218,0.2582,0.2404,0.2404,0.4159,0.4159,0.4159
Diesel,N3,20001 - 26000 kg,Euro 3,0.0665,0.0233,0.2116,0.2086,0.2054,0.2114,0.2158,0.2223,0.5118,0.3816,0.3816,0.2399,0.2131,0.2218,0.2884,0.2471,0.2233,0.5118,0.5118,0.4553,0.3366,0.2977,0.2872,0.3425,0.3448,0.2849,0.5118,0.5118,0.5118,0.195,0.1965,0.1965,0.2023,0.1999,0.1999,0.3816,0.3816,0.3816
Diesel,N3,20001 - 26000 kg,Euro 4,0.0665,0.0227,0.0597,0.0527,0.0481,0.0732,0.0628,0.0584,0.1455,0.1205,0.1205,0.0912,0.0833,0.0661,0.095,0.0988,0.0793,0.1455,0.1455,0.1323,0.1145,0.0945,0.0943,0.1161,0.1108,0.1002,0.1455,0.1455,0.1455,0.0462,0.0426,0.0426,0.0533,0.0492,0.0492,0.1205,0.1205,0.1205
Diesel,N3,20001 - 26000 kg,Euro 5,0.0665,0.032,0.0741,0.0677,0.0644,0.0787,0.0736,0.0738,0.1685,0.1356,0.1356,0.0902,0.0832,0.0764,0.0971,0.0939,0.0816,0.1685,0.1685,0.1499,0.1186,0.1017,0.0969,0.1202,0.1161,0.1054,0.1685,0.1685,0.1685,0.0651,0.0601,0.0601,0.0692,0.0663,0.0663,0.1356,0.1356,0.1356
Diesel,N3,20001 - 26000 kg,Euro 6,0.0665,0.0768,0.0059,0.0057,0.0055,0.0063,0.0059,0.0058,0.0178,0.0142,0.0142,0.0076,0.0068,0.0062,0.009,0.0075,0.0069,0.0178,0.0178,0.0159,0.011,0.009,0.0089,0.0113,0.0105,0.0093,0.0178,0.0178,0.0178,0.0054,0.0053,0.0053,0.0057,0.0055,0.0055,0.0142,0.0142,0.0142
Diesel,N3,26001 - 28000 kg,Euro 0,0.0665,0.0018,0.703,0.6941,0.6916,0.7232,0.6866,0.6966,1.3834,1.1249,1.1249,0.7824,0.7404,0.7336,0.9462,0.7543,0.7553,1.3834,1.3834,1.2748,1.0209,0.932,0.9423,1.0436,1.0003,0.8988,1.3834,1.3834,1.3834,0.6901,0.6919,0.6919,0.6914,0.6936,0.6936,1.1249,1.1249,1.1249
Diesel,N3,26001 - 28000 kg,Euro 1,0.0665,0.005,0.6254,0.6243,0.6259,0.6301,0.6026,0.6273,1.0912,0.8648,0.8648,0.5826,0.6101,0.6415,0.714,0.5565,0.6239,1.0912,1.0912,0.9925,0.7467,0.7395,0.7099,0.7679,0.7524,0.6925,1.0912,1.0912,1.0912,0.6227,0.6248,0.6248,0.6208,0.6254,0.6254,0.8648,0.8648,0.8648
Diesel,N3,26001 - 28000 kg,Euro 2,0.0665,0.0025,0.2997,0.2801,0.2794,0.3208,0.2889,0.2858,0.4897,0.4185,0.4185,0.3239,0.2935,0.2783,0.403,0.3307,0.2936,0.4897,0.4897,0.4624,0.3836,0.3656,0.4018,0.3951,0.4234,0.3647,0.4897,0.4897,0.4897,0.2613,0.2651,0.2651,0.2638,0.2658,0.2658,0.4185,0.4185,0.4185
Diesel,N3,26001 - 28000 kg,Euro 3,0.0665,0.0061,0.2192,0.2364,0.244,0.2275,0.2237,0.2249,0.5267,0.3814,0.3814,0.2519,0.231,0.2452,0.3019,0.2503,0.2365,0.5267,0.5267,0.4573,0.3506,0.3072,0.3007,0.3569,0.369,0.2932,0.5267,0.5267,0.5267,0.25,0.2542,0.2542,0.2301,0.2403,0.2403,0.3814,0.3814,0.3814
